asset,event_month,n_legs,n_broad_episodes,weighted_median_cum_return,weighted_q25_cum_return,weighted_q75_cum_return,weighted_median_running_mdd,weighted_q75_running_mdd,weighted_new_event_low_share,weighted_new_running_mdd_share,event_trough_cdf,mdd_trough_cdf,mdd_trough_hazard
WTI,1,8,6,0.01099677456808923,-0.020770931673122384,0.11061033322229763,0.0,0.020770931673122384,0.38888888888888884,1.0,0.5,0.0,0.0
WTI,2,8,6,0.11999060366773895,0.03738585136901018,0.1879449231922068,0.0,0.024568992938482248,0.16666666666666666,0.2222222222222222,0.6666666666666666,0.16666666666666666,0.16666666666666666
WTI,3,8,6,0.17193240385886077,-0.013676958407757178,0.25311898499047447,0.0,0.07258222533240033,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.16666666666666666,0.0
WTI,4,8,6,0.219737015990485,-0.03977668912228971,0.27464255145996175,0.07089037949094923,0.13240027991602532,0.1111111111111111,0.4444444444444444,0.6666666666666666,0.16666666666666666,0.0
WTI,5,8,6,0.2038137177129251,0.022087969328146828,0.30995067981871527,0.08629427723058425,0.18436478772531228,0.0,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.0
WTI,6,8,6,0.14875711775119216,-0.08056386500889656,0.22755144082790046,0.18791304494519445,0.26628185670805027,0.27777777777777773,0.611111111111111,0.6666666666666666,0.3333333333333333,0.2
WTI,7,8,6,0.16185648407517417,-0.04459017666727383,0.16502266062383364,0.18791304494519445,0.26628185670805027,0.1111111111111111,0.3333333333333333,0.7222222222222222,0.38888888888888884,0.08333333333333333
WTI,8,8,6,0.18333150375586116,-0.07933754831835449,0.18537515571220253,0.18791304494519445,0.26628185670805027,0.0,0.05555555555555555,0.7222222222222222,0.38888888888888884,0.0
WTI,9,8,6,0.2065802060626969,-0.02460945252473712,0.3453198714715977,0.18791304494519445,0.2855678725835522,0.16666666666666666,0.16666666666666666,0.7222222222222222,0.38888888888888884,0.0
WTI,10,8,6,0.17274112868255664,0.07060049332312657,0.304557570712527,0.18791304494519445,0.2855678725835522,0.0,0.38888888888888884,0.7222222222222222,0.38888888888888884,0.0
WTI,11,8,6,0.07580553867971251,0.07213196866169547,0.24028975753174753,0.18791304494519445,0.2855678725835522,0.05555555555555555,0.1111111111111111,0.7222222222222222,0.38888888888888884,0.0
WTI,12,8,6,0.22446254881138916,0.07526265362759355,0.39549817081210414,0.18791304494519445,0.2855678725835522,0.16666666666666666,0.16666666666666666,0.7222222222222222,0.38888888888888884,0.0
WTI,13,8,6,0.23900293255131966,0.05431006815307082,0.46136049662598966,0.18791304494519445,0.2855678725835522,0.05555555555555555,0.1111111111111111,0.7222222222222222,0.38888888888888884,0.0
WTI,14,8,6,0.259755228777824,0.01916966012710697,0.6024707320097056,0.18791304494519445,0.2855678725835522,0.2222222222222222,0.27777777777777773,0.7777777777777777,0.4444444444444444,0.09090909090909091
WTI,15,8,6,0.1937839739574876,0.12127494383507353,0.623590255428786,0.18791304494519445,0.2855678725835522,0.16666666666666666,0.16666666666666666,0.9444444444444443,0.611111111111111,0.30000000000000004
WTI,16,8,6,0.2030234621506113,0.09372634765789245,0.5489519314216893,0.18791304494519445,0.2855678725835522,0.0,0.0,0.9444444444444443,0.611111111111111,0.0
WTI,17,8,6,0.14213869347164199,0.0398903132020616,0.4482186819220346,0.18791304494519445,0.2855678725835522,0.0,0.16666666666666666,0.9444444444444443,0.7777777777777777,0.4285714285714286
WTI,18,8,6,0.16557511836919847,-0.024181876658358137,0.4721642667800192,0.18791304494519445,0.2855678725835522,0.05555555555555555,0.2222222222222222,0.9444444444444443,0.7777777777777777,0.0
WTI,19,8,6,0.19659854477409966,-0.025551450520279628,0.6276151286335305,0.18791304494519445,0.2855678725835522,0.0,0.0,0.9444444444444443,0.7777777777777777,0.0
WTI,20,8,6,0.16288288035471243,-0.01403902849922789,0.5318309254592186,0.18791304494519445,0.31978779795710877,0.05555555555555555,0.05555555555555555,0.9444444444444443,0.7777777777777777,0.0
WTI,21,8,6,0.19953977185031335,-0.05942763306233756,0.5311659116454921,0.20650806889339002,0.3555863077132204,0.05555555555555555,0.2222222222222222,1.0,1.0,1.0
WTI,22,8,6,0.2673111731608415,-0.06170365737963657,0.5492583695149098,0.20650806889339002,0.3555863077132204,0.0,0.0,1.0,1.0,
WTI,23,8,6,0.31658586374075015,0.028364074584505516,0.611952041963282,0.20650806889339002,0.3555863077132204,0.0,0.0,1.0,1.0,
WTI,24,8,6,0.27758523652951794,0.1287448790802168,0.5495454635089034,0.20650806889339002,0.3555863077132204,0.0,0.0,1.0,1.0,
